creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2017-03-28 10:27:23,"""家里一直使用格力的产品，所以选择电视格力已经是一种习惯。安装师傅上门也很快，服务态度非常不错，进门一句感谢您选择格力产品已经充分了体现了格力的专业服务理念，好评。以后会一直选择","17,""afterDays"":0", 10,true,"""j***u""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""上海"""
2017-03-28 10:27:23,"""物流速度快，服务态度好！","5,""afterDays"":0", 10,true,"""t***t""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""",""""""
2017-03-28 10:22:54,"""下单当天就到了，第二天就安装了，安装师傅态度很好，就是抽真空就抽了有五分钟，安装师傅说能制冷就没事，我也不懂不知道以后会不会有影响。","5,""afterDays"":0", 10,true,"""車***前""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2017-03-28 10:11:13,"""格力大品牌，京东大平台，商品非常满意，给力就必须赞一个，京东雄起","5,""afterDays"":0", 10,true,"""j***b""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""",""""""
2017-03-28 10:06:09,"""好","5,""afterDays"":0", 10,true,"""窦***9""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017-03-28 10:04:41,"""格力品牌还是不错的，用用看","5,""afterDays"":0", 10,true,"""7***辉""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-28 09:50:45,"""整个流程都挺好的，谢谢！","3,""afterDays"":0", 09,true,"""jd_189710wbj""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-28 09:40:49,"""外观挺好的，送货效率还挺高，","5,""afterDays"":0", 09,false,"""j***d""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""PLUS会员""",""""""
2017-03-28 09:37:07,"""好好好好好好好好","5,""afterDays"":0", 09,false,"""9***燕""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""","""陕西"""
2017-03-28 09:34:14,"""空调没话说，毕竟是大品牌。","39,""afterDays"":0", 09,true,"""风***疯""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""山东"""
