ProductID,price,PreferentialPrice
11733943447,368,158
14183991766,239,199
14223835938,238,98
14392676792,299,189
14403192409,299,185
14496960204,299,119
11688791384,259,149
14581240940,199,159
14603836673,199,199
11679107923,399,198
11679107922,399,198
11679107921,399,221.8
11679107920,399,221.8
14646184098,588,195
14646189412,387.4,198
14647052751,387.4,188
11655913271,249,118
14734295221,299,199
14742494469,599,210
14742885929,439,219
14791790575,268,168
14980799675,348,168
14980799676,348,168
14986223259,298,198
11605740056,297,89
15100417552,396,159
15119015560,299,168
15224917308,159,159
11545729757,399,221.8
11545729756,399,198
15235862417,239,99
15275231466,259,219
11487970931,660,218
11479009068,660,196
11466185720,386,156
15304298475,387.4,198
15304362967,352,199
15340618422,169,169
15349849896,999,199
15360674196,672,168
11440479609,399,168
11438919841,360,168
15380124669,632,158
15392858070,399,199
15392858071,399,199
11402592508,499,159
15422381263,198,198
15422381264,198,198
15422381265,198,198
11394961799,299,129
11394731581,368,218
15507494462,792,198
15553661196,632,158
15598519583,672,168
15598519584,672,168
15608598260,799,198
11379100420,199,169
11379100419,199,147
15608598261,799,198
11374941239,399,98
15640728696,199,79
15655603385,399,199
15758858553,366,146
15806847756,169,169
11349137949,219,199
17293544077,299,159
17314742306,399,199
17872257875,436,168
17872257879,436,168
17918568778,398,198
11324987571,599,149
17918568780,398,198
17918568783,398,198
16016643204,200,149
17986126088,299,198
16049526007,269,179
11264023403,580,218
11254466315,199,139
11254466314,199,139
11254466313,199,139
16229352022,299,179
16242475959,199,149
16242726580,299,149
11220260542,499,199
11218491177,350,259
11218207047,499,329
1092288777,358,199
1480792246,269,228
1481769475,269,228
1549054414,316,156
11105928896,269,189
11105928895,269,189
1557360866,499,179
11075635628,339,199
11065958022,389,189
1625348408,399,159
1643323573,396,198
10913257282,698,158
1973690539,1088,199
1973690543,1088,199
1974729390,1588,168
1975978127,299,188
10873491746,199,169
1975978128,299,188
1975978129,299,188
1975978130,299,188
1978106355,1388,199
1978106359,1388,199
1978106362,1388,199
1978106364,1388,199
1982101561,299,158
1988952211,229,199
1989001509,179,159
1989145167,199,188
1990105329,199,199
10013448195,599,179
10813409376,259,159
10050113218,499,229
16413544114,298,198
10081015876,398,159
16413544115,298,198
16413544116,298,198
10112455823,399,149
10126493878,199,146
10136145267,199,142
10136145269,199,142
10136145270,199,142
10776778603,349,179
16413544117,298,198
10213265032,597,149
10223011466,151,142
10228762447,259,129
16433679531,188,168
10280456175,399,149
16433679532,188,168
16433679533,188,168
10338145352,199,142
10338649246,268,178
10349020007,350,146
10349020008,350,146
10349020009,350,146
10349020010,350,146
10351435260,238,85
10357195187,299,168
16614394337,400,169
10382691599,350,146
10382691600,350,146
10675375883,397,199
10404957776,428,169
10413721420,499,259
10414181616,299,119
10420639382,299,199
16515319314,558,238
10492220352,399,189
10516290904,368,199
10516290905,368,199
10516370963,269,228
16605858928,599,188
16605860307,198,169
16605860308,198,149
16605860590,299,228
10617799313,298,168
10558673574,298,218
10610623192,308,188
10604616702,399,199
16605860591,299,209
16605860592,299,188
16605861019,199,169
16605861020,199,147
10580266940,428,169
12898811249,599,199
12969274600,298,158
13013118348,159,159
13067575505,599,199
13160357918,298,198
13180730273,210,188
13191030030,199,199
13206943594,228,228
13234745224,149,149
13235003738,259,199
13235003739,259,229
13239039944,399,198
13436448671,198,158
13464233841,299,139
13491876194,200,119
13511533808,198,138
13511683842,198,118
13567327973,299,129
13621427942,178,129
13676964592,398,199
13685253563,468,158
13692577962,360,239
13755065871,399,149
13772124781,496,198
13858813396,599,199
13858813400,599,249
13858813400,599,249
13858824802,599,148
13858824805,599,138
13886991225,598.5,225
13927048093,436,218
13927112913,315,168
13940090188,299,185
13942664664,199,148
13942664665,199,168
13969389081,178,178
12725938893,326,228
14126512437,597,168
14126512438,597,168
14400760436,259,189
14404921130,499,198
14404921131,499,198
14452522136,299,169
14535091833,488,216
14535091834,488,216
14602726501,359,189
14611456247,229,229
14639151862,9999,199.99
14673967259,268,189
14680239058,480,199
14743762922,599,219
15065185335,199,199
12689516948,238,109
15066949288,299,199
15147464544,209,178
15148087955,189,168
15151328152,149,139
12611615262,368,228
12611300994,599,199
15227137360,269,99
15304340675,366,199
15304370632,360,225
15304370633,360,189
15356111175,949,219
15356111176,949,199
15356111178,949,148
15388897903,792,198
15388897904,792,198
15390568598,399,198
15390568600,399,198
15390604386,366,146
15425777068,198,198
