p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,Y_type
"
                                    赛亿电风扇迷你床头夹壁扇台式学生扇宿舍台扇家用办公风扇 白色                ",微智礼品专营店,12378761765,299.00,99.00,2,100,2,0,0,赛亿（Shinee）,,"赛亿电风扇迷你床头夹壁扇台式学生扇宿舍台扇家用办公风扇 白色,12378761765, ,1.42kg,中国大陆,FJ7-01,无定时,二档调节,正常风,3片,无,机械式,台扇",none
"
                                    赛亿电风扇迷你USB风扇小电扇学生办公电脑散热小风扇 黑色                ",微智礼品专营店,12378845144,199.00,69.00,1,100,1,0,0,赛亿（Shinee）,适合宝宝 适合宝宝,"赛亿电风扇迷你USB风扇小电扇学生办公电脑散热小风扇 黑色,12378845144, ,400.00g,中国大陆,FB4-01,无定时,无极变速,正常风、自然风,4片,1级,机械式,USB风扇",none
"
                                    赛亿电风扇五风叶定时摇头落地扇家用 工业台地扇 白色                ",微智礼品专营店,12378978736,499.00,239.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇五风叶定时摇头落地扇家用 工业台地扇 白色,12378978736, ,5.8kg,中国大陆,6933739620857,2小时以下,三档调节,正常风、自然风,5片,2级,机械式,落地扇",none
"
                                    台式迷你转页扇鸿运扇电风扇家用办公学生风扇 白色                ",微智礼品专营店,12379073092,399.00,259.00,0,100,0,0,0,赛亿（Shinee）,,"台式迷你转页扇鸿运扇电风扇家用办公学生风扇 白色,12379073092, ,1.6kg,中国大陆,6933739620604,无定时,三档调节,正常风,5片,2级,机械式,台扇",none
"
                                    赛亿电风扇遥控落地扇宽网箍定时升降风扇家用工业台地扇 白色                ",微智礼品专营店,12379536538,499.00,299.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇遥控落地扇宽网箍定时升降风扇家用工业台地扇 白色,12379536538, ,6.8kg,中国大陆,6933739601993,2-8小时,三档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",none
"
                                    微狼 夏季时尚学生办公室桌面加湿器迷你USB充电带锂电池喷雾风扇 绿色                ",耐力礼品专营店,12380201937,198.00,98.00,3,67,2,0,1,微狼（WEIWOLF）,,"微狼 夏季时尚学生办公室桌面加湿器迷你USB充电带锂电池喷雾风扇 绿色,12380201937, ,200.00g,2-8小时,三档调节,正常风、自然风、睡眠风,4片,3级,机械式,台扇",none
"
                                    志高 壁扇/工业扇/工业壁扇/风扇/ 电风扇 工业壁扇FW-75C(直径700MM)                ",盛世昌业专营店,12380732721,799.00,299.00,0,100,0,0,0,志高（CHIGO）,,"志高 壁扇/工业扇/工业壁扇/风扇/ 电风扇 工业壁扇FW-75C(直径700MM),12380732721, ,10.8kg,FW-75C,无定时,三档调节,正常风,4片,无,机械式,工业扇，壁扇",none
"
                                    TCL壁扇/工业扇/工业壁扇/大璧扇/车间扇/风扇/电风扇                ",盛世昌业专营店,12381838184,799.00,299.00,1,100,1,0,0,TCL,,"TCL壁扇/工业扇/工业壁扇/大璧扇/车间扇/风扇/电风扇,12381838184, ,7.2kg,中国大陆,FW-55T,无定时,三档调节,正常风,4片,1级,机械式,工业扇，壁扇",none
"
                                    吉星电风扇台式家用床头定时转页扇鸿运扇迷你小风扇小电扇 黄色                ",吉星生活电器旗舰店,12400064127,129.00,79.00,10,100,10,0,0,吉星,风扇不错 安全节能,"吉星电风扇台式家用床头定时转页扇鸿运扇迷你小风扇小电扇 黄色,12400064127, ,1.8kg,中国大陆,10寸2型,2小时以下,三档调节,正常风、自然风、睡眠风,5片,1级,机械式,转页扇",none
"
                                    歌林(Kolin) 台式电风扇 遥控 迷你3D液晶空气循环扇 家用床头小风扇 黑色ALM5002-B                ",台企名品馆—家电专营店,12400566515,269.00,169.50,0,100,0,0,0,歌林（kolin）,,"歌林(Kolin) 台式电风扇 遥控 迷你3D液晶空气循环扇 家用床头小风扇 黑色ALM5002-B,12400566515, ,3.5kg,无定时,二档调节,正常风,3片,1级,机械式,空气循环扇",none
"
                                    先锋（Singfun）DD1606 大风量落地扇/家用电风扇/直流变频APP控制 DD1606遥控12叶                ",先锋生活电器旗舰店,12425024983,1999.00,1399.00,2,100,2,0,0,先锋,安装方便,"先锋（Singfun）DD1606 大风量落地扇/家用电风扇/直流变频APP控制 DD1606遥控12叶,12425024983, ,10.1kg,中国大陆,DD1606,8小时以上,无极变速,正常风、自然风、睡眠风,7片及以上,1级,APP控制,落地扇",none
"
                                    美菱（MeiLing）FS-40RC-5电风扇五叶静音遥控落地扇 黑色                ",美菱Meiling生活电器旗舰店,12442674019,348.00,279.00,10,94,10,1,0,美菱（MeiLing）,风力很大 底座很稳 造型美观 使用方便 风扇不错 扇网坚固 颜色漂亮 电机好 安装方便 安全节能 安装方便 风力很大 电机好 扇网坚固 广角送风 风扇不错 造型美观 电机好 遥控方便 扇网坚固 噪音很小 颜色漂亮 风力很大 质量不错 质量不错 使用方便 风力很大 底座很稳 安全节能 风力很大 造型美观 远程遥控 造型美观 安全节能 颜色漂亮 噪音很小,"美菱（MeiLing）FS-40RC-5电风扇五叶静音遥控落地扇 黑色,12442674019, ,6.8kg,中国大陆,FS-40RC-5,8小时以上,三档调节,正常风、自然风、睡眠风,5片,2级,机械式,落地扇",none
"
                                    先锋（Singfun）蒲扇/遥控电风扇/落地扇/升降转页扇DL1706婴童适用超柔风 DL1706遥控5叶                ",先锋生活电器旗舰店,12444950248,999.00,599.00,10,89,10,2,0,先锋,风很柔和 安全节能 造型美观 风扇不错 安装方便 质量不错 风很柔和 安全节能,"先锋（Singfun）蒲扇/遥控电风扇/落地扇/升降转页扇DL1706婴童适用超柔风 DL1706遥控5叶,12444950248, ,6.1kg,中国大陆,DL1706,8小时以上,四档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇，转页扇",none
"
                                    中联电风扇FC03-70迷你微风扇电风扇小风扇小电扇小吊扇静音家用学生宿舍床头蚊帐 003白色+4.5米延长线                ",洋脉个护专营店,12446694301,99.00,46.90,8,100,8,0,0,中联（ZOLEE）,质量不错 颜色漂亮 安装方便 睡眠风不错 使用方便 质量不错 颜色漂亮 安装方便 睡眠风不错 使用方便,"中联电风扇FC03-70迷你微风扇电风扇小风扇小电扇小吊扇静音家用学生宿舍床头蚊帐 003白色+4.5米延长线,12446694301, ,0.7kg,中国大陆,无定时,二档调节,正常风,3片,无,机械式,吊扇",none
