creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince,
2015/11/29 23:02,"""京东快递送货就是快，昨天下单今天到，安装要等明天，相信格力空调大品牌！",23,TRUE,"""I***丶""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东Android客户端""","""PLUS会员""",""""""
2015/11/29 23:02,"""很静音，制暖很快，母亲很喜欢。物流挺快，不过物流师傅是跟安装师傅分开的，过了两天才过来按，服务还是不错的，好评！",23,TRUE,"""j***e""","""【新品统一型号】品圆变频挂机""","""正1.5匹""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2015/11/29 22:48,"""安装师傅很热心，发货很快，1天到货，并安装完成",22,TRUE,"""阿***5""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""","""安徽"""
2017/1/22 20:12,"""物流很快，安装师傅态度很好?",20,TRUE,"""j***o""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""上海"""
2017/1/22 20:11,"""空调不错",20,TRUE,"""c***的""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017/1/22 20:01,"""可以的",20,TRUE,"""舍***R""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017/1/22 19:54,"""格力空调售后不错，安装细心周到",19,TRUE,"""t***3""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""江苏"""
2017/1/22 19:47,"""挺不错的，很好的，可以的",19,TRUE,"""凯***贝""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017/1/22 19:39,"""质量不错，相信京东的品质。",19,TRUE,"""小***礼""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""广东"""
2017/1/22 19:19,"""挺好",19,TRUE,"""j***x""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/1/22 19:05,"""这两天半小时吧",19,TRUE,"""a***6""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017/1/22 18:56,"""元旦时候买的，挺实惠的，京东快递很给力，态度很好，一次愉快的购物，信懒格力，信懒京东，还会再来的。",18,TRUE,"""n***1""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""河北"""
2016/12/13 9:56,"""买空调就买格力的，在京东购买送货很快，当天送，第二天安装，花30元买的三角架，试了一下制热效果还不错。",9,FALSE,"""y***e""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""钻石会员""",""""""
2016/12/13 9:48,"""送货速度快，安装师傅也很负责，技术棒棒的，都没有收取其他费用",9,FALSE,"""4***m""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""金牌会员""","""江苏"""
2016/12/13 9:47,"""国内一线品牌就是不一样，外观也漂亮",9,TRUE,"""岛***邪""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2016/12/13 9:45,"""很好，送货很快，安装人员服务很好。",9,TRUE,"""j***l""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""上海"""
2016/12/13 9:45,"""京东的快递的确快，物流小哥也很给力，这么多大件、重物一个人就搬上了五楼，确实赞！因房子装修还没完工，所以暂时未安装，等安装完后再来评价吧",9,TRUE,"""j***q""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""","""上海"""
2016/12/13 9:25,"""速度很快，一直相信京东！",9,TRUE,"""姜旭1989""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""","""江苏"""
2016/12/13 9:12,"""很快就安装好了。",9,FALSE,"""T***m""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""钻石会员""","""重庆"""
