creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2015/12/14 21:55,"""下单到送货很快，服务很好。空调外表和质量都不错。很值。",2,FALSE,"""136*****003""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 0:00,5,"""""","""银牌会员""","""山东"""
2015/12/14 21:47,"""格力依旧的好",4,TRUE,"""5***9""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:02,5,"""来自京东Android客户端""","""金牌会员""",""""""
2015/12/14 21:17,"""空调等个把星期才有货的，到货了就马上给我电话联系送货的问题，送到第二天就安排安装了！很不错！",33,FALSE,"""m***a""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/11/11 10:15,5,"""""","""PLUS会员""","""湖南"""
2015/12/14 21:09,"""安装师傅很好",4,FALSE,"""鹿力小仙""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 20:48,5,"""""","""金牌会员""","""广东"""
2015/12/14 20:37,"""不错，送货快，安装也很快。。。",4,TRUE,"""d***6""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:26,5,"""来自京东iPhone客户端""","""金牌会员""","""广东"""
2016/6/23 10:46,"""安装上了挺好的",28,TRUE,"""j***留""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/5/26 15:06,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/6/23 10:42,"""差评，安装后面还得自己预约，客服电话打不通。",5,FALSE,"""S***W""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 2:27,1,"""""","""金牌会员""",""""""
2016/6/23 11:03,"""不错，送货快。",7,TRUE,"""H***7""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/16 9:58,5,"""来自京东Android客户端""","""银牌会员""","""广东"""
2016/6/23 10:38,"""安装师傅恨热情，快递恨快，价钱恨实惠！！",5,TRUE,"""5***u""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 0:38,5,"""来自京东Android客户端""","""PLUS会员""",""""""
2016/6/23 10:35,"""送货快，安装快。电话联系沟通态度也不错，京东还是靠谱的",6,FALSE,"""b***t""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/17 7:53,5,"""来自微信购物""","""银牌会员""",""""""
